"not_natural","Integer value greater than 0 expected"
"not_integer","Integer value expected"
"not_bit","Bit value expected"
"not_decimal","Decimal value expected"
"not_datetime","Date-time value expected"
"not_mail","Expected valid format mail"
"not_dns_mail","DNS not found"
"not_string","String expected"
"not_min_lenght","String too short"
